code.ordinal,code.onset,code.offset,code.code01,
0,45424,0,"B",
1,45424,45730,"LB",
2,45900,46274,"RT",
3,46308,46750,"LT",
4,46954,47498,"LB",
5,47634,47838,"RB",
6,47872,48178,"RT",
7,48178,48382,"LT",
8,48484,49334,"LB",
9,49368,50014,"RB",
10,50048,51544,"LB",
11,51646,52054,"RT",
12,52088,52462,"LT",
13,52462,0,"S",
14,53788,0,"B",
15,54026,54468,"RT",
16,54502,55352,"LB",
17,55386,55862,"RB",
18,55896,56032,"RT",
19,56236,56474,"LT",
20,56508,60826,"RT",
21,60826,0,"S",
22,62118,0,"B",
23,62390,63172,"RT",
24,63206,63614,"LT",
25,63648,63886,"RB",
26,63920,64260,"LB",
27,64294,69258,"RT",
28,69258,0,"S",
29,70516,0,"B",
30,70652,77690,"RT",
31,77690,0,"S",
32,78744,0,"B",
33,79118,80172,"RT",
34,80206,86224,"LB",
35,86224,0,"S",
36,87176,0,"B",
37,87550,87788,"RT",
38,87924,94350,"LB",
39,94350,0,"S",
40,95370,0,"B",
41,95676,96662,"RT",
42,96662,102544,"RB",
43,102544,0,"S",
44,103734,0,"B",
45,103938,104142,"RB",
46,104142,104924,"LB",
47,104958,105264,"LT",
48,105434,111112,"RB",
49,111112,0,"S",
50,112132,0,"B",
51,112642,112846,"RB",
52,112880,113356,"LT",
53,113356,114240,"RT",
54,114240,115090,"RB",
55,115124,115328,"LB",
56,115362,119374,"RT",
57,119374,0,"S",
58,120428,0,"B",
59,120768,121244,"LT",
60,121516,121822,"LB",
61,121856,122570,"RB",
62,122570,123012,"RT",
63,123012,125358,"RB",
64,125358,125630,"LB",
65,125630,127602,"RB",
66,127602,0,"S",
