code.ordinal,code.onset,code.offset,code.code01,
0,45390,0,"B",
1,45390,45730,"LB",
2,45866,46274,"RT",
3,46308,46716,"LT",
4,46886,47634,"LB",
5,47668,47838,"RB",
6,47872,48178,"RT",
7,48178,48348,"LT",
8,48484,49334,"LB",
9,49368,50014,"RB",
10,50048,51476,"LB",
11,51646,52054,"RT",
12,52088,52462,"LT",
13,52462,0,"S",
14,53754,0,"B",
15,54060,54468,"RT",
16,54502,55318,"LB",
17,55352,55862,"RB",
18,55862,55998,"RT",
19,56066,56236,"LT",
20,56236,56474,"LT",
21,56508,60791,"RT",
22,60792,0,"S",
23,62084,0,"B",
24,62390,63172,"RT",
25,63206,63614,"LT",
26,63648,63886,"RB",
27,63920,64259,"LB",
28,64260,69223,"RT",
29,69224,0,"S",
30,70482,0,"B",
31,70618,77655,"RT",
32,77656,0,"S",
33,78710,0,"B",
34,78744,80206,"RT",
35,80206,86155,"LB",
36,86156,0,"S",
37,87142,0,"B",
38,87142,87516,"LB",
39,87550,87788,"RT",
40,87890,94316,"LB",
41,94316,0,"S",
42,95370,0,"B",
43,95642,96662,"RT",
44,96662,102509,"RB",
45,102510,0,"S",
46,103734,103801,"B",
47,103802,103938,"LB",
48,103938,104141,"RB",
49,104142,104924,"LB",
50,104958,105230,"LT",
51,105434,111077,"RB",
52,111078,0,"S",
53,112098,0,"B",
54,112710,112846,"RB",
55,112880,113355,"LT",
56,113356,114240,"RT",
57,114240,115090,"RB",
58,115124,115328,"LB",
59,115362,119339,"RT",
60,119340,0,"S",
61,120394,0,"B",
62,120768,121210,"LT",
63,121516,121822,"LB",
64,121856,122570,"RB",
65,122604,123012,"RT",
66,123046,125358,"RB",
67,125358,125630,"LB",
68,125664,127567,"RB",
69,127568,0,"S",
