Reformatted Data (in frames),,,,,Trial Start Times
Code,Onset,Offset,,,Trial Number,Start Time (in frames - Supercoder),Start Time (in milliseconds - Datavyu CSVs),Start Time (in elapsed time - Datavyu coding)
B,1361, ,,,1,1361,45412,00:45.412,
LB,1361,1371,,,2,1612,53787,00:53.787,
RT,1376,1387,,,3,1862,62129,01:02.129,
LT,1388,1401,,,4,2113,70504,01:10.504,
LB,1407,1424,,,5,2360,78745,01:18.745,
RB,1428,1434,,,6,2613,87187,01:27.187,
RT,1435,1444,,,7,2858,95362,01:35.362,
LT,1444,1450,,,8,3109,103737,01:43.737,
LB,1453,1479,,,9,3361,112145,01:52.145,
RB,1480,1499,,,10,3609,120420,02:00.420,
LB,1500,1545,,,
RT,1548,1560,,,
LT,1561,1572,,,
S,1572, ,,,
B,1612, ,,,
RT,1619,1632,,,
LB,1633,1659,,,
RB,1660,1674,,,
RT,1675,1679,,,
LT,1685,1693,,,
RT,1694,1823,,,
S,1823, ,,,
B,1862, ,,,
RT,1870,1893,,,
LT,1894,1907,,,
RB,1908,1915,,,
LB,1916,1926,,,
RT,1927,2076,,,
S,2076, ,,,
B,2113, ,,,
RT,2117,2328,,,
S,2328, ,,,
B,2360, ,,,
RT,2371,2403,,,
LB,2404,2584,,,
S,2584, ,,,
B,2613, ,,,
RT,2624,2631,,,
LB,2635,2828,,,
S,2828, ,,,
B,2858, ,,,
RT,2867,2897,,,
RB,2897,3073,,,
S,3073, ,,,
B,3109, ,,,
RB,3115,3121,,,
LB,3121,3145,,,
LT,3146,3155,,,
RB,3160,3330,,,
S,3330, ,,,
B,3361, ,,,
RB,3376,3382,,,
LT,3383,3397,,,
RT,3397,3424,,,
RB,3424,3449,,,
LB,3450,3456,,,
RT,3457,3578,,,
S,3578, ,,,
B,3609, ,,,
LT,3619,3634,,,
LB,3642,3651,,,
RB,3652,3673,,,
RT,3673,3687,,,
RB,3687,3757,,,
LB,3757,3765,,,
RB,3765,3824,,,
S,3824, ,,,
