Reformatted Data (in frames),,,,,Trial Start Times
Code,Onset,Offset,,,Trial Number,Start Time (in frames - Supercoder),Start Time (in milliseconds - Datavyu CSVs),Start Time (in elapsed time - Datavyu coding)
B,1360, ,,,1,1360,45379,00:45.379,
LB,1361,1367,,,2,1607,53620,00:53.620,
RT,1372,1378,,,3,1861,62095,01:02.095,
LT,1380,1422,,,4,2112,70470,01:10.470,
RB,1428,1433,,,5,2360,78745,01:18.745,
RT,1433,1441,,,6,2612,87154,01:27.154,
LB,1446,1466,,,7,2848,95028,01:35.028,
RB,1478,1492,,,8,3102,103504,01:43.504,
LB,1498,1543,,,9,3358,112045,01:52.045,
RT,1544,1557,,,10,3606,120320,02:00.320,
LT,1558,1570,,,
S,1571, ,,,
B,1607, ,,,
RT,1615,1627,,,
LB,1630,1653,,,
RB,1655,1666,,,
RT,1673,1677,,,
LT,1684,1689,,,
RT,1692,1819,,,
S,1819, ,,,
B,1861, ,,,
RT,1866,1887,,,
LT,1893,1903,,,
RB,1905,1910,,,
LB,1911,1924,,,
RT,1925,2073,,,
S,2073, ,,,
B,2112, ,,,
RT,2116,2328,,,
S,2328, ,,,
B,2360, ,,,
LB,2403,2586,,,
S,2586, ,,,
B,2612, ,,,
RT,2623,2635,,,
LB,2635,2830,,,
S,2830, ,,,
B,2848, ,,,
RT,2861,2907,,,
RB,2908,3069,,,
S,3069, ,,,
B,3102, ,,,
RB,3110,3118,,,
LB,3119,3143,,,
LT,3143,3153,,,
RB,3155,3328,,,
S,3328, ,,,
B,3358, ,,,
RB,3373,3380,,,
LT,3382,3391,,,
RT,3390,3420,,,
RB,3423,3447,,,
LB,3448,3453,,,
RT,3455,3577,,,
S,3577, ,,,
B,3606, ,,,
LT,3619,3640,,,
LB,3641,3645,,,
RB,3647,3671,,,
RT,3673,3686,,,
RB,3686,3754,,,
LB,3755,3760,,,
RB,3761, ,,,
S,3822, ,,,
