Reformatted Data (in frames),,,,,Trial Start Times
Code,Onset,Offset,,,Trial Number,Start Time (in frames - Supercoder),Start Time (in milliseconds - Datavyu CSVs),Start Time (in elapsed time - Datavyu coding)
B,1360, ,,,1,1360,45379,00:45.379,
LB,1360,1371,,,2,1611,53754,00:53.754,
RT,1375,1387,,,3,1861,62095,01:02.095,
LT,1388,1400,,,4,2112,70470,01:10.470,
LB,1405,1428,,,5,2359,78712,01:18.712,
RB,1429,1434,,,6,2612,87154,01:27.154,
RT,1435,1444,,,7,2858,95362,01:35.362,
LT,1444,1449,,,8,3109,103737,01:43.737,
LB,1453,1479,,,9,3360,112112,01:52.112,
RB,1480,1499,,,10,3608,120387,02:00.387,
LB,1500,1543,,,
RT,1548,1560,,,
LT,1561,1572,,,
S,1572, ,,,
B,1611, ,,,
RT,1620,1632,,,
LB,1633,1658,,,
RB,1659,1674,,,
RT,1674,1678,,,
LT,1680,1685,,,
LT,1685,1693,,,
RT,1694,1822,,,
S,1822, ,,,
B,1861, ,,,
RT,1870,1893,,,
LT,1894,1907,,,
RB,1908,1915,,,
LB,1916,1926,,,
RT,1926,2075,,,
S,2075, ,,,
B,2112, ,,,
RT,2116,2327,,,
S,2327, ,,,
B,2359, ,,,
RT,2360,2404,,,
LB,2404,2582,,,
S,2582, ,,,
B,2612, ,,,
LB,2612,2623,,,
RT,2624,2631,,,
LB,2634,2827,,,
S,2827, ,,,
B,2858, ,,,
RT,2866,2897,,,
RB,2897,3072,,,
S,3072, ,,,
B,3109,3111,,,
LB,3111,3115,,,
RB,3115,3121,,,
LB,3121,3145,,,
LT,3146,3154,,,
RB,3160,3329,,,
S,3329, ,,,
B,3360, ,,,
RB,3378,3382,,,
LT,3383,3397,,,
RT,3397,3424,,,
RB,3424,3449,,,
LB,3450,3456,,,
RT,3457,3577,,,
S,3577, ,,,
B,3608, ,,,
LT,3619,3633,,,
LB,3642,3651,,,
RB,3652,3673,,,
RT,3674,3687,,,
RB,3688,3757,,,
LB,3757,3765,,,
RB,3766,3823,,,
S,3823, ,,,
