Reformatted Data (in frames),,,,,Trial Start Times
Code,Onset,Offset,,,Trial Number,Start Time (in frames - Supercoder),Start Time (in milliseconds - Datavyu CSVs),Start Time (in elapsed time - Datavyu coding)
B,1384, ,,,1,1384,46180,00:46.180,
RB,1385,1386,,,2,1611,53754,00:53.754,
LB,1388,1427,,,3,1861,62095,01:02.095,
RB,1428,1434,,,4,2112,70470,01:10.470,
RT,1435,1443,,,5,2360,78745,01:18.745,
LT,1444,1449,,,6,2612,87154,01:27.154,
LB,1454,1478,,,7,2858,95362,01:35.362,
RB,1479,1499,,,8,3109,103737,01:43.737,
LB,1500,1546,,,9,3361,112145,01:52.145,
RT,1547,1560,,,10,3608,120387,02:00.387,
LT,1561,1571,,,
S,1572, ,,,
B,1611, ,,,
RT,1619,1631,,,
LB,1632,1653,,,
RB,1659,1675,,,
RT,1677,1678,,,
LT,1679,1693,,,
RT,1695,1822,,,
S,1823, ,,,
B,1861, ,,,
RT,1871,1892,,,
LT,1893,1905,,,
RB,1908,1914,,,
LB,1915,1925,,,
RT,1926,2075,,,
S,2076, ,,,
B,2112, ,,,
RT,2118,2326,,,
S,2327, ,,,
B,2360, ,,,
RT,2363,2402,,,
LB,2403,2581,,,
S,2583, ,,,
B,2612, ,,,
LB,2614,2623,,,
RT,2624,2631,,,
LB,2634,2827,,,
S,2828, ,,,
B,2858, ,,,
RT,2867,2896,,,
RB,2897,3072,,,
S,3073, ,,,
B,3109, ,,,
RB,3115,3120,,,
LB,3121,3144,,,
LT,3145,3154,,,
RB,3159,3329,,,
S,3330, ,,,
B,3361, ,,,
RB,3376,3382,,,
LT,3383,3396,,,
RT,3397,3423,,,
RB,3424,3449,,,
LB,3450,3455,,,
RT,3457,3577,,,
S,3578, ,,,
B,3608, ,,,
LT,3619,3633,,,
LB,3642,3651,,,
RB,3652,3672,,,
RT,3674,3686,,,
RB,3687,3756,,,
LB,3757,3764,,,
RB,3766,3820,,,
S,3824, ,,,
